gamma_usado,k_usado,E_s_cm,Var_s_cm2,lambda1,lambda2,residuo,moda_cm,entropia,cond_num,valida,motivo,Suelo_ID
1.7934890121389908,4.4448965535453183e-07,0.0016975077451102114,1.7742657116597598e-06,-0.8345248307439361,100000.0,4.64858397467062e-06,0.0021804787525874733,0.00027751212084539234,331344594.3172224,False,Unstable condition (3.31e+08),1
1.8146494799778456,7.003943487687703e-07,0.5000000049999993,0.08340550154630116,-100000.0,100000.0,0.6026249587592251,0.9645937035317568,0.06805688771734374,32.05252090023072,False,lambda2 edge (100000.00),1
1.6235443369719125,9.758661281203884e-07,0.008638505936328356,2.4582047393027914e-06,174.7442170940194,100000.0,7.706607328447268e-05,0.008894455646328717,0.0009446787326843594,4824685.315063645,False,lambda2 edge (100000.00),1
1.7902849254975883,7.882036622241843e-07,0.0017338753878880944,1.7925309342330158e-06,-0.4876938595220106,100000.0,4.7859993041395195e-06,0.0021804787525874733,0.00028230250157879283,309463888.7955777,False,Unstable condition (3.09e+08),1
1.6320284081688865,4.558820785166115e-07,0.007823612704634022,2.4490923072134846e-06,142.20123165896823,100000.0,6.36505726737427e-05,0.007982752084850246,0.0008828764284693941,5955689.637961114,False,lambda2 edge (100000.00),1
1.6926995060581453,9.274973389601159e-07,0.00398599288124238,2.3105166282104978e-06,31.996741521273712,100000.0,1.8183528499928064e-05,0.004325216267991965,0.0005422292430344484,27862727.056437496,False,lambda2 edge (100000.00),1
1.7609662800201662,8.245339971381217e-07,0.0021408290171294458,1.963890272586364e-06,3.750396840128164,100000.0,6.533591096134007e-06,0.0025186868126674026,0.0003343437387444058,158946442.70646003,False,Unstable condition (1.59e+08),1
1.710853549706833,2.3496633456692914e-07,0.003319687888086504,2.235414399892837e-06,20.01392017988131,100000.0,1.3251909799631282e-05,0.003611851958639004,0.0004716764096917415,44733196.355080985,False,lambda2 edge (100000.00),1
1.7386461967539588,7.317908354313357e-08,0.0025702351347880667,2.0927026687882804e-06,8.966815307686323,100000.0,8.697617775850925e-06,0.0029093533944216637,0.00038647185683613616,91646908.05391029,False,Unstable condition (9.16e+07),1
1.8069077929981456,6.353477551308442e-07,0.0015588236968667078,1.6994328726168683e-06,-2.1109562138201983,100000.0,4.119001739888298e-06,0.0020288068591494037,0.0002590150164467493,436688668.95174164,False,Unstable condition (4.37e+08),1
1.7895219350213436,3.609807084485697e-07,0.0017427375918308546,1.796900443796912e-06,-0.40240366743497336,100000.0,4.82814731245928e-06,0.0021804787525874733,0.0002834661625971699,304428933.46066445,False,Unstable condition (3.04e+08),1
1.842674506098726,8.941899101089757e-07,0.0012722611026709705,1.5153784903690796e-06,-4.52660855810344,100000.0,3.1196614356766344e-06,0.001756379644833265,0.00021953987231316234,841991399.4746766,False,Unstable condition (8.42e+08),1
1.7945958742684405,2.026923207734479e-07,0.0016852542532376324,1.7679886439036684e-06,-0.9502396504019871,100000.0,4.604764652963674e-06,0.0021804787525874733,0.00027589256390814205,339185135.15290713,False,Unstable condition (3.39e+08),1
1.7166802509317587,5.3365728129356485e-08,0.0031383415970030514,2.207953318708384e-06,17.10822132893928,100000.0,1.2056270909146823e-05,0.003483969657392026,0.00045166993246617836,52069052.323066525,False,Unstable condition (5.21e+07),1
1.638572373016887,6.862184637100301e-07,0.007251879839297671,2.440808373541449e-06,121.28622927794785,100000.0,5.501937743095637e-05,0.007427479935502685,0.0008376685438870727,7010918.139409906,False,lambda2 edge (100000.00),1
1.7861905389769543,9.678346351098678e-07,0.00178237691284141,1.8160627821975266e-06,-0.017182772502532917,100000.0,4.977144971733944e-06,0.0022605152248080028,0.0002886536401958316,283215858.18231434,False,Unstable condition (2.83e+08),1
1.681456339534538,3.7675510897452023e-07,0.5000000049999993,0.08340550154630116,-100000.0,100000.0,0.4971650005220596,0.9645937035317568,0.06805688771734374,32.05252090023072,False,lambda2 edge (100000.00),1
1.717388952818952,1.9757664549344286e-07,0.0031172485396761492,2.2045116592687744e-06,16.780000284560064,100000.0,1.191852766447113e-05,0.003483969657392026,0.0004493188543356089,53038195.023992755,False,Unstable condition (5.30e+07),1
1.632480376333868,4.809478769636744e-07,0.007782589842451688,2.4485573247583117e-06,140.64790783173478,100000.0,6.300941788253433e-05,0.007982752084850246,0.0008796853035678178,6023046.796658687,False,lambda2 edge (100000.00),1
1.6567273372627211,6.731158547356853e-07,0.005893415138344824,2.410808481798916e-06,77.92278902950494,100000.0,3.71321720305676e-05,0.006202454696040428,0.0007233052338370361,11064693.047839804,False,lambda2 edge (100000.00),1
1.7092879797180829,8.343514140972591e-07,0.0033709120940616554,2.2425294217822265e-06,20.862006709511146,100000.0,1.3591969589665713e-05,0.0037444282970276357,0.00047726194606350725,42942644.22660988,False,lambda2 edge (100000.00),1
1.7750662755005624,3.192429749682207e-07,0.0019268022649463138,1.8808649616659033e-06,1.4386121402270362,100000.0,5.5882251127525496e-06,0.0023434895091387887,0.0003073202573988252,220963614.89851853,False,Unstable condition (2.21e+08),1
1.8080649503488004,8.067167139218339e-07,0.001547804479082848,1.6931172779251203e-06,-2.209286351071152,100000.0,4.075658553772891e-06,0.0020288068591494037,0.00025752922271775173,446867253.6366967,False,Unstable condition (4.47e+08),1
1.6968695947575436,2.954448228909417e-07,0.003818168189385826,2.29473633027568e-06,28.78338097627517,100000.0,1.686832599788381e-05,0.0041720763785181815,0.000524872232866471,31057850.774796773,False,lambda2 edge (100000.00),1
1.770623875993744,1.4835495877321674e-07,0.0019901957349231164,1.9069840548605428e-06,2.1039049932464526,100000.0,5.865443465426716e-06,0.002429509440667451,0.00031540179371383406,199524330.71284023,False,Unstable condition (2.00e+08),1
1.6499770506187772,1.7288647053495458e-08,0.00636210872306786,2.423294066294414e-06,91.87811265558922,100000.0,4.289943950246635e-05,0.006666144989411547,0.0007639504289835208,9331564.734471098,False,lambda2 edge (100000.00),1
1.7967310943755348,6.682023480261119e-07,0.5000000049999993,0.08340550154630116,-100000.0,100000.0,0.5877823394020818,0.9645937035317568,0.06805688771734374,32.05252090023072,False,lambda2 edge (100000.00),1
1.7762913446565838,7.829217407117483e-07,0.0019099239121009377,1.87368000197643e-06,1.2642039055491145,100000.0,5.508719986206889e-06,0.0023434895091387887,0.0003051572617265388,227205105.23137346,False,Unstable condition (2.27e+08),1
1.7147289438845852,5.730537839933648e-07,0.0031974797999742345,2.2173178028988577e-06,18.03926030095006,100000.0,1.2431848684288702e-05,0.003483969657392026,0.0004582345912361761,49489356.79902064,False,lambda2 edge (100000.00),1
